game_id,selected,Goalkeeper,Defender,Midfielder,Attacker,transfers_balance,avg_team_strength_next_X,minutes,points_next_X
4288,73392,0,1,0,0,-5929,3.333333333,0,0
4834,70195,0,1,0,0,-3543,3.333333333,0,0
5382,67697,0,1,0,0,-2825,3.666666667,0,0.333333333
5932,65145,0,1,0,0,-2712,3.666666667,0,0.666666667
6484,64910,0,1,0,0,-680,4,0,1
7037,64905,0,1,0,0,-204,3.666666667,90,2.666666667
7593,65200,0,1,0,0,57,2.666666667,90,2.333333333
8151,69304,0,1,0,0,3261,2.333333333,90,2.333333333
8710,64988,0,1,0,0,-3761,2.333333333,90,1
9272,71689,0,1,0,0,5653,3.333333333,0,0.666666667
9837,73038,0,1,0,0,907,3,90,2
10405,71329,0,1,0,0,-2196,3.333333333,90,2
10973,72204,0,1,0,0,113,3,90,6
11543,72717,0,1,0,0,-410,3,90,4.333333333
12117,71125,0,1,0,0,-1900,3.666666667,90,3.666666667
12696,73683,0,1,0,0,1661,3,90,0
13279,68519,0,1,0,0,-4914,3,0,2
13933,65290,0,1,0,0,-3479,2.333333333,0,2.333333333
14533,67009,0,1,0,0,277,3.333333333,0,3
15017,67340,0,1,0,0,1093,4,90,2.666666667
15622,66995,0,1,0,0,-415,4,90,4.333333333
16228,67673,0,1,0,0,308,3.333333333,90,4
17143,71334,0,1,0,0,1743,3,90,2.333333333
18043,80431,0,1,0,0,7310,2.666666667,90,0.333333333
18417,74346,0,1,0,0,-4830,2.666666667,90,2.666666667
19101,70516,0,1,0,0,-3811,2.666666667,0,2.666666667
13,236460,0,0,1,0,0,4,0,1.333333333
538,235965,0,0,1,0,-29452,3,90,1.333333333
1065,201485,0,0,1,0,-41534,2.666666667,67,4
1596,159335,0,0,1,0,-46139,2.666666667,0,5
2133,149837,0,0,1,0,-14570,3,83,7.666666667
2670,168695,0,0,1,0,13763,2.666666667,90,4.333333333
3208,174948,0,0,1,0,3474,2.666666667,90,7.333333333
3747,243629,0,0,1,0,58989,2.333333333,90,4.666666667
4289,223066,0,0,1,0,-17711,3.333333333,0,5.333333333
4835,410002,0,0,1,0,166775,3.333333333,79,1.666666667
5383,338057,0,0,1,0,-59683,3.666666667,67,1
5933,348419,0,0,1,0,1854,3.666666667,90,0.333333333
6485,313097,0,0,1,0,-36940,4,74,0
7038,269697,0,0,1,0,-43978,3.666666667,0,0
7594,211143,0,0,1,0,-58522,2.666666667,0,0.333333333
8152,183661,0,0,1,0,-28646,2.333333333,0,2
8711,171556,0,0,1,0,-13422,2.333333333,0,2.333333333
9273,167823,0,0,1,0,-5015,3.333333333,20,2
9838,169488,0,0,1,0,89,3,90,0.333333333
10406,160573,0,0,1,0,-9277,3.333333333,45,0
10974,153096,0,0,1,0,-7824,3,0,0
11544,145989,0,0,1,0,-7600,3,0,1
12118,144745,0,0,1,0,-2098,3.666666667,0,1
12697,143872,0,0,1,0,-1661,3,0,1
13280,143592,0,0,1,0,-625,3,75,0.333333333
13934,143490,0,0,1,0,-843,2.333333333,0,4.333333333
14534,145542,0,0,1,0,9,3.333333333,0,4.666666667
15018,143892,0,0,1,0,-654,4,27,5.333333333
15623,151613,0,0,1,0,7025,4,90,2.333333333
16229,149382,0,0,1,0,-2766,3.333333333,18,2.666666667
17144,151072,0,0,1,0,494,3,76,2
18044,176752,0,0,1,0,21698,2.666666667,83,3
18418,168078,0,0,1,0,-5753,2.666666667,73,3
19103,169726,0,0,1,0,809,2.666666667,45,2.666666667
14,60423,0,0,1,0,0,4,0,1.333333333
539,66721,0,0,1,0,-4393,3,53,1.666666667
1066,58474,0,0,1,0,-9971,2.666666667,22,2.333333333
1597,61047,0,0,1,0,271,2.666666667,90,4.666666667
2134,67200,0,0,1,0,3939,3,90,5
2671,67228,0,0,1,0,-738,2.666666667,79,7.333333333
3209,85332,0,0,1,0,15093,2.666666667,79,4.666666667
3748,80972,0,0,1,0,-3585,2.333333333,62,4
4290,149343,0,0,1,0,58997,3.333333333,23,1
4836,121361,0,0,1,0,-24192,3.333333333,10,2
5384,87047,0,0,1,0,-35227,3.666666667,12,2
5934,75940,0,0,1,0,-12431,3.666666667,17,4
6486,72169,0,0,1,0,-4620,4,15,3
7039,68324,0,0,1,0,-4053,3.666666667,8,2.666666667
7595,73431,0,0,1,0,4343,2.666666667,45,0.333333333
8153,69020,0,0,1,0,-4331,2.333333333,45,0
8712,61697,0,0,1,0,-7317,2.333333333,0,0.333333333
9274,60495,0,0,1,0,-1824,3.333333333,0,1
9839,57786,0,0,1,0,-2979,3,0,3
10407,55745,0,0,1,0,-2313,3.333333333,28,3
10975,57435,0,0,1,0,1068,3,90,3.333333333
11545,58629,0,0,1,0,411,3,15,1.666666667
12119,56417,0,0,1,0,-2467,3.666666667,31,1.666666667
12698,60629,0,0,1,0,3402,3,66,0.666666667
13281,58342,0,0,1,0,-2268,3,14,1.333333333
13935,60031,0,0,1,0,964,2.333333333,24,1
14535,58146,0,0,1,0,-2497,3.333333333,0,3.666666667
15019,57451,0,0,1,0,-412,4,62,3.666666667
15624,55975,0,0,1,0,-1554,4,0,7.333333333
16230,58811,0,0,1,0,2251,3.333333333,71,5
17145,58872,0,0,1,0,-818,3,90,5
18045,75797,0,0,1,0,14299,2.666666667,66,1.333333333
18419,90435,0,0,1,0,16409,2.666666667,45,1
19105,82209,0,0,1,0,-9015,2.666666667,67,0
15,35746,0,0,1,0,0,4,0,3.666666667
540,34141,0,0,1,0,-6773,3,0,3.666666667
1067,78035,0,0,1,0,30671,2.666666667,74,1.333333333
1598,101512,0,0,1,0,18462,2.666666667,45,0.333333333
2135,79017,0,0,1,0,-22134,3,0,1.666666667
2672,64854,0,0,1,0,-15691,2.666666667,0,2.333333333
3210,58044,0,0,1,0,-7541,2.666666667,21,2.666666667
3749,60377,0,0,1,0,1304,2.333333333,27,2
4291,64150,0,0,1,0,2604,3.333333333,66,2.666666667
4837,71137,0,0,1,0,6200,3.333333333,90,2.333333333
